,,,,score,score,score
,,,,mean,std,p
size,model,method,window,,,
200,TokenCNN,Baseline,1,0.9032127229702125,0.03110934786830027,
200,TokenCNN,K-Means,1,0.9136833401049081,0.024965407409146177,0.2313372216151046
200,TokenCNN,GMM,1,0.907800696480888,0.024408874920354845,0.6654969330727991
200,CharCNN,Baseline,1,0.8424233758463184,0.030099769719915206,
200,CharCNN,K-Means,1,0.8681193411845962,0.0530412288200348,0.1966316022348039
200,CharCNN,GMM,1,0.8561669005180222,0.028200946376707,0.3500390935478054
800,TokenCNN,Baseline,1,0.9287135432438205,0.010089656471183513,
800,TokenCNN,K-Means,1,0.9256251770129754,0.011033132114505274,0.5499779536570627
800,TokenCNN,GMM,1,0.9316595297416029,0.009074298755465207,0.31690284888421044
800,CharCNN,Baseline,1,0.9129235873153922,0.018586892002781585,
800,CharCNN,K-Means,1,0.9076549422026208,0.021345732345480508,0.44461597364311756
800,CharCNN,GMM,1,0.9137096667109812,0.031156497222315664,0.9378754254464796
1600,TokenCNN,Baseline,1,0.9433177589868068,0.012124243061577342,
1600,TokenCNN,K-Means,1,0.9411874979573517,0.0105574610569218,0.6718789248637819
1600,TokenCNN,GMM,1,0.9426942096535154,0.011591834087993273,0.9088021275464833
1600,CharCNN,Baseline,1,0.9269700302397113,0.01759914417842178,
1600,CharCNN,K-Means,1,0.9087883377676448,0.025587114169685066,0.0757372114312528
1600,CharCNN,GMM,1,0.933245082165531,0.022380136802515237,0.49656336689962277
2400,TokenCNN,Baseline,1,0.9471310457325698,0.01499698739781464,
2400,TokenCNN,K-Means,1,0.9378244542015176,0.011502425072087076,0.10662678090386829
2400,TokenCNN,GMM,1,0.9370850211987476,0.014767078800031381,0.022104034463833612
2400,CharCNN,Baseline,1,0.9383928735041918,0.026880887909390402,
2400,CharCNN,K-Means,1,0.9379216686843275,0.01820048941449242,0.9574912510804112
2400,CharCNN,GMM,1,0.9518989467799003,0.01521000715649717,0.15647523612635292
