,,,,score,score,score
,,,,mean,std,p
size,model,method,window,,,
200,TokenCNN,Baseline,0,0.8375365520326989,0.010426557378122817,
200,TokenCNN,K-Means,0,0.8383423340405406,0.015019224360636593,0.8819440752231433
200,TokenCNN,GMM,0,0.8482186771376726,0.01400356318247364,0.06163357418971775
200,CharCNN,Baseline,0,0.8461871121136341,0.016581921406398623,
200,CharCNN,K-Means,0,0.8607481425130719,0.015476674503972249,0.0634879314615846
200,CharCNN,GMM,0,0.8518672657232811,0.0204021516456011,0.5516226181343744
800,TokenCNN,Baseline,0,0.8453183680461646,0.00896982590775516,
800,TokenCNN,K-Means,0,0.8517598505820769,0.007169342716834305,0.11000123704330364
800,TokenCNN,GMM,0,0.8564414474243591,0.0091984955664967,0.011040365228827937
800,CharCNN,Baseline,0,0.8674745559651337,0.010628075878703349,
800,CharCNN,K-Means,0,0.8570575237129013,0.018006642239746427,0.18339479536167444
800,CharCNN,GMM,0,0.8700885172380636,0.01110556883693276,0.5866577438755995
1600,TokenCNN,Baseline,0,0.8486312816941843,0.009890668154928306,
1600,TokenCNN,K-Means,0,0.8600202897999403,0.0049810688124824806,0.010155591244216815
1600,TokenCNN,GMM,0,0.8624889360934826,0.019556337397888403,0.04812575372116281
1600,CharCNN,Baseline,0,0.8675083059186436,0.007450540392909153,
1600,CharCNN,K-Means,0,0.8622547489881823,0.010540197612674366,0.16471804576408866
1600,CharCNN,GMM,0,0.875722751507104,0.012023278883172193,0.1287177558740859
2400,TokenCNN,Baseline,0,0.846387051074631,0.0073004776417327,
2400,TokenCNN,K-Means,0,0.861130268736134,0.009454962174116068,3.708745351196075e-05
2400,TokenCNN,GMM,0,0.86475203193724,0.009931379364785555,0.0010256990766114291
2400,CharCNN,Baseline,0,0.8647705254577781,0.013332443332642815,
2400,CharCNN,K-Means,0,0.8645282532734988,0.017684938474975768,0.973753504156863
2400,CharCNN,GMM,0,0.8710220445183806,0.011203552922813725,0.2594165749516841
